Lat;Lon;Sats;X;Y
-21.7614680;-41.3369540;12;5.349;6.794
-21.7614685;-41.3369527;12;5.487;6.738
-21.7614685;-41.3369527;12;5.487;6.738
-21.7614683;-41.3369517;12;5.590;6.757
-21.7614683;-41.3369517;12;5.590;6.757
-21.7614683;-41.3369507;12;5.694;6.757
-21.7614683;-41.3369507;12;5.694;6.757
-21.7614685;-41.3369495;12;5.814;6.738
-21.7614685;-41.3369495;12;5.814;6.738
-21.7614680;-41.3369487;12;5.900;6.794
-21.7614680;-41.3369487;12;5.900;6.794
-21.7614678;-41.3369473;12;6.038;6.813
-21.7614678;-41.3369473;12;6.038;6.813
-21.7614683;-41.3369457;12;6.210;6.757
-21.7614683;-41.3369457;12;6.210;6.757
-21.7614687;-41.3369448;12;6.296;6.720
-21.7614687;-41.3369448;12;6.296;6.720
-21.7614692;-41.3369435;12;6.434;6.664
-21.7614692;-41.3369435;12;6.434;6.664
-21.7614692;-41.3369425;12;6.537;6.664
-21.7614692;-41.3369425;12;6.537;6.664
-21.7614695;-41.3369412;12;6.675;6.627
-21.7614695;-41.3369412;12;6.675;6.627
-21.7614700;-41.3369400;12;6.795;6.572
-21.7614700;-41.3369400;12;6.795;6.572
-21.7614705;-41.3369387;12;6.933;6.516
-21.7614705;-41.3369387;12;6.933;6.516
-21.7614705;-41.3369382;12;6.985;6.516
-21.7614705;-41.3369382;12;6.985;6.516
-21.7614705;-41.3369375;12;7.053;6.516
-21.7614705;-41.3369375;12;7.053;6.516
-21.7614708;-41.3369367;12;7.139;6.479
-21.7614708;-41.3369367;12;7.139;6.479
-21.7614712;-41.3369355;12;7.260;6.442
-21.7614712;-41.3369355;12;7.260;6.442
-21.7614720;-41.3369342;12;7.398;6.349
-21.7614720;-41.3369342;12;7.398;6.349
-21.7614725;-41.3369335;12;7.466;6.294
-21.7614725;-41.3369335;12;7.466;6.294
-21.7614728;-41.3369325;12;7.570;6.257
-21.7614728;-41.3369325;12;7.570;6.257
-21.7614728;-41.3369323;12;7.587;6.257
-21.7614728;-41.3369323;12;7.587;6.257
-21.7614738;-41.3369313;12;7.690;6.145
-21.7614738;-41.3369313;12;7.690;6.145
-21.7614737;-41.3369308;12;7.742;6.164
-21.7614737;-41.3369308;12;7.742;6.164
-21.7614743;-41.3369295;12;7.880;6.090
-21.7614743;-41.3369295;12;7.880;6.090
-21.7614752;-41.3369287;12;7.966;5.997
-21.7614752;-41.3369287;12;7.966;5.997
-21.7614755;-41.3369282;12;8.017;5.960
-21.7614755;-41.3369282;12;8.017;5.960
-21.7614765;-41.3369273;12;8.103;5.849
-21.7614765;-41.3369273;12;8.103;5.849
-21.7614772;-41.3369262;12;8.224;5.775
-21.7614772;-41.3369262;12;8.224;5.775
-21.7614778;-41.3369253;12;8.310;5.701
-21.7614778;-41.3369253;12;8.310;5.701
-21.7614787;-41.3369247;12;8.379;5.608
-21.7614787;-41.3369247;12;8.379;5.608
-21.7614795;-41.3369243;12;8.413;5.515
-21.7614795;-41.3369243;12;8.413;5.515
-21.7614802;-41.3369242;12;8.430;5.441
-21.7614802;-41.3369242;12;8.430;5.441
-21.7614808;-41.3369235;12;8.499;5.367
-21.7614808;-41.3369235;12;8.499;5.367
-21.7614820;-41.3369233;12;8.516;5.237
-21.7614820;-41.3369233;12;8.516;5.237
-21.7614830;-41.3369227;12;8.585;5.126
-21.7614830;-41.3369227;12;8.585;5.126
-21.7614838;-41.3369228;12;8.568;5.033
-21.7614838;-41.3369228;12;8.568;5.033
-21.7614838;-41.3369228;12;8.568;5.033
-21.7614838;-41.3369228;12;8.568;5.033
-21.7614842;-41.3369223;12;8.620;4.996
-21.7614842;-41.3369223;12;8.620;4.996
-21.7614843;-41.3369220;12;8.654;4.978
-21.7614843;-41.3369220;12;8.654;4.978
-21.7614855;-41.3369217;12;8.688;4.848
-21.7614855;-41.3369217;12;8.688;4.848
-21.7614867;-41.3369220;12;8.654;4.718
-21.7614867;-41.3369220;12;8.654;4.718
-21.7614878;-41.3369220;12;8.654;4.589
-21.7614878;-41.3369220;12;8.654;4.589
-21.7614882;-41.3369223;12;8.620;4.552
-21.7614882;-41.3369223;12;8.620;4.552
-21.7614888;-41.3369228;12;8.568;4.478
-21.7614888;-41.3369228;12;8.568;4.478
-21.7614895;-41.3369228;12;8.568;4.403
-21.7614895;-41.3369228;12;8.568;4.403
-21.7614900;-41.3369232;12;8.534;4.348
-21.7614900;-41.3369232;12;8.534;4.348
-21.7614907;-41.3369237;12;8.482;4.274
-21.7614907;-41.3369237;12;8.482;4.274
