ime,latitude,longitude,altitude
45.648629903793335,-21.7611141204834,-41.33755874633789,0.0
45.855284452438354,-21.7611141204834,-41.33755874633789,0.0
46.05550670623779,-21.7611141204834,-41.33755874633789,0.0
46.259355306625366,-21.7611141204834,-41.33755874633789,0.0
46.46835017204285,-21.7611141204834,-41.33755874633789,0.0
46.67960214614868,-21.7611141204834,-41.33755874633789,0.0
46.89370250701904,-21.7611141204834,-41.33755874633789,0.0
47.394646644592285,-21.761119842529297,-41.33757400512695,0.0
47.59523415565491,-21.761119842529297,-41.33757400512695,0.0
47.79594039916992,-21.761119842529297,-41.33757400512695,0.0
48.13443183898926,-21.761119842529297,-41.33757400512695,0.0
48.33809995651245,-21.761131286621094,-41.337581634521484,0.0
48.54748511314392,-21.761133193969727,-41.337581634521484,0.0
48.75757312774658,-21.76113510131836,-41.337581634521484,0.0
48.967548847198486,-21.761138916015625,-41.33758544921875,0.0
49.17854309082031,-21.761140823364258,-41.33758544921875,0.0
49.5555055141449,-21.76114273071289,-41.33758544921875,0.0
49.75414848327637,-21.76114273071289,-41.33758544921875,0.0
49.964468479156494,-21.76114273071289,-41.33758544921875,0.0
50.164422273635864,-21.76114273071289,-41.33758544921875,0.0
50.36940550804138,-21.76114273071289,-41.33758544921875,0.0
50.577858448028564,-21.76114273071289,-41.33758544921875,0.0
50.787455558776855,-21.76114273071289,-41.33758544921875,0.0
50.99805402755737,-21.76114273071289,-41.33758544921875,0.0
51.20903944969177,-21.76114273071289,-41.33758544921875,0.0
51.44777846336365,-21.76114273071289,-41.33758544921875,0.0
51.65789771080017,-21.761167526245117,-41.33759307861328,0.0
51.866955518722534,-21.76116943359375,-41.33759689331055,0.0
52.07819080352783,-21.761171340942383,-41.33759689331055,0.0
52.28663659095764,-21.761171340942383,-41.33759689331055,0.0
52.5172061920166,-21.761171340942383,-41.33759689331055,0.0
52.72828125953674,-21.761171340942383,-41.33759689331055,0.0
52.85961985588074,-21.761171340942383,-41.33759689331055,0.0
53.42062020301819,-21.761184692382812,-41.33760070800781,0.0
53.628183364868164,-21.76119041442871,-41.33760452270508,0.0
53.83384323120117,-21.761192321777344,-41.33760452270508,0.0
54.00573492050171,-21.761192321777344,-41.33760452270508,0.0
54.33002686500549,-21.761198043823242,-41.33760452270508,0.0
54.53665733337402,-21.76120376586914,-41.337608337402344,0.0
54.745487689971924,-21.76120376586914,-41.337608337402344,0.0
54.95337653160095,-21.761205673217773,-41.337608337402344,0.0
55.22073984146118,-21.761205673217773,-41.337608337402344,0.0
55.42339491844177,-21.761211395263672,-41.33761215209961,0.0
55.62283658981323,-21.761213302612305,-41.33761215209961,0.0
55.82453775405884,-21.761215209960938,-41.33761215209961,0.0
55.96408247947693,-21.761215209960938,-41.33761215209961,0.0
56.166547536849976,-21.761215209960938,-41.33761215209961,0.0
56.37252497673035,-21.761215209960938,-41.33761215209961,0.0
56.572046518325806,-21.761215209960938,-41.33761215209961,0.0
56.80066204071045,-21.761215209960938,-41.33761215209961,0.0
57.00289177894592,-21.761215209960938,-41.33761215209961,0.0
57.20573282241821,-21.761215209960938,-41.33761215209961,0.0
57.41666555404663,-21.761215209960938,-41.33761215209961,0.0
57.62629508972168,-21.761215209960938,-41.33761215209961,0.0
57.83586239814758,-21.761215209960938,-41.33761215209961,0.0
58.43345499038696,-21.761215209960938,-41.33761215209961,0.0
58.82814693450928,-21.761245727539062,-41.337623596191406,0.0
59.036232471466064,-21.761245727539062,-41.337623596191406,0.0
59.24770498275757,-21.76125144958496,-41.337623596191406,0.0
59.45511317253113,-21.761255264282227,-41.33762741088867,0.0
59.66638779640198,-21.76125717163086,-41.33762741088867,0.0
59.95894408226013,-21.761259078979492,-41.33762741088867,0.0
60.161996841430664,-21.761259078979492,-41.33762741088867,0.0
60.37146067619324,-21.761259078979492,-41.33762741088867,0.0
60.571515798568726,-21.761259078979492,-41.33762741088867,0.0
60.7724552154541,-21.761259078979492,-41.33762741088867,0.0
60.97507166862488,-21.76127052307129,-41.33763122558594,0.0
