Lat;Lon;Sats;X;Y
-21.7615493;-41.3370483;12;2.203;3.348
-21.7615482;-41.3370480;12;2.238;3.477
-21.7615482;-41.3370480;12;2.238;3.477
-21.7615468;-41.3370478;12;2.255;3.626
-21.7615468;-41.3370478;12;2.255;3.626
-21.7615455;-41.3370475;12;2.289;3.774
-21.7615455;-41.3370475;12;2.289;3.774
-21.7615442;-41.3370468;12;2.358;3.922
-21.7615442;-41.3370468;12;2.358;3.922
-21.7615435;-41.3370465;12;2.393;3.996
-21.7615435;-41.3370465;12;2.393;3.996
-21.7615422;-41.3370460;12;2.444;4.145
-21.7615422;-41.3370460;12;2.444;4.145
-21.7615407;-41.3370453;12;2.513;4.311
-21.7615407;-41.3370453;12;2.513;4.311
-21.7615395;-41.3370447;12;2.582;4.441
-21.7615395;-41.3370447;12;2.582;4.441
-21.7615380;-41.3370438;12;2.668;4.608
-21.7615380;-41.3370438;12;2.668;4.608
-21.7615368;-41.3370435;12;2.702;4.738
-21.7615368;-41.3370435;12;2.702;4.738
-21.7615357;-41.3370428;12;2.771;4.867
-21.7615357;-41.3370428;12;2.771;4.867
-21.7615347;-41.3370423;12;2.823;4.979
-21.7615347;-41.3370423;12;2.823;4.979
-21.7615330;-41.3370418;12;2.875;5.164
-21.7615330;-41.3370418;12;2.875;5.164
-21.7615317;-41.3370413;12;2.926;5.312
-21.7615317;-41.3370413;12;2.926;5.312
-21.7615305;-41.3370407;12;2.995;5.442
-21.7615305;-41.3370407;12;2.995;5.442
-21.7615295;-41.3370403;12;3.029;5.553
-21.7615295;-41.3370403;12;3.029;5.553
-21.7615283;-41.3370398;12;3.081;5.683
-21.7615283;-41.3370398;12;3.081;5.683
-21.7615272;-41.3370393;12;3.133;5.812
-21.7615272;-41.3370393;12;3.133;5.812
-21.7615262;-41.3370387;12;3.201;5.924
-21.7615262;-41.3370387;12;3.201;5.924
-21.7615248;-41.3370380;12;3.270;6.072
-21.7615248;-41.3370380;12;3.270;6.072
-21.7615235;-41.3370375;12;3.322;6.220
-21.7615235;-41.3370375;12;3.322;6.220
-21.7615227;-41.3370368;12;3.391;6.313
-21.7615227;-41.3370368;12;3.391;6.313
-21.7615215;-41.3370362;12;3.460;6.443
-21.7615215;-41.3370362;12;3.460;6.443
-21.7615202;-41.3370355;12;3.529;6.591
-21.7615202;-41.3370355;12;3.529;6.591
-21.7615188;-41.3370350;12;3.580;6.739
-21.7615188;-41.3370350;12;3.580;6.739
-21.7615177;-41.3370343;12;3.649;6.869
-21.7615177;-41.3370343;12;3.649;6.869
-21.7615172;-41.3370337;12;3.718;6.924
-21.7615172;-41.3370337;12;3.718;6.924
-21.7615163;-41.3370333;12;3.752;7.017
-21.7615163;-41.3370333;12;3.752;7.017
-21.7615157;-41.3370325;12;3.838;7.091
-21.7615157;-41.3370325;12;3.838;7.091
-21.7615148;-41.3370318;12;3.907;7.184
-21.7615148;-41.3370318;12;3.907;7.184
-21.7615142;-41.3370310;12;3.993;7.258
-21.7615142;-41.3370310;12;3.993;7.258
-21.7615135;-41.3370302;12;4.079;7.332
-21.7615135;-41.3370302;12;4.079;7.332
-21.7615128;-41.3370293;12;4.165;7.406
-21.7615128;-41.3370293;12;4.165;7.406
-21.7615122;-41.3370288;12;4.217;7.480
-21.7615122;-41.3370288;12;4.217;7.480
-21.7615113;-41.3370277;12;4.337;7.573
-21.7615113;-41.3370277;12;4.337;7.573
-21.7615103;-41.3370270;12;4.406;7.684
-21.7615103;-41.3370270;12;4.406;7.684
-21.7615097;-41.3370265;12;4.458;7.758
-21.7615097;-41.3370265;12;4.458;7.758
-21.7615087;-41.3370258;12;4.527;7.870
-21.7615087;-41.3370258;12;4.527;7.870
-21.7615078;-41.3370252;12;4.596;7.962
-21.7615078;-41.3370252;12;4.596;7.962
-21.7615073;-41.3370242;12;4.699;8.018
-21.7615073;-41.3370242;12;4.699;8.018
-21.7615067;-41.3370233;12;4.785;8.092
-21.7615067;-41.3370233;12;4.785;8.092
